ICD9_CODE,LONG_TITLE
0030,Salmonella gastroenteritis
0031,Salmonella septicemia
0038,Other specified salmonella infections
0039,"Salmonella infection, unspecified"
0041,Shigella flexneri
0048,Other specified shigella infections
0049,"Shigellosis, unspecified"
0051,Botulism food poisoning
00581,Food poisoning due to Vibrio vulnificus
0059,"Food poisoning, unspecified"
0071,Giardiasis
0074,Cryptosporidiosis
00804,Intestinal infection due to enterohemorrhagic E. coli
00841,Intestinal infection due to staphylococcus
00843,Intestinal infection due to campylobacter
00845,Intestinal infection due to Clostridium difficile
00847,Intestinal infection due to other gram-negative bacteria
0085,"Bacterial enteritis, unspecified"
00861,Enteritis due to rotavirus
00862,Enteritis due to adenovirus
00863,Enteritis due to norwalk virus
00869,Enteritis due to other viral enteritis
0088,"Intestinal infection due to other organism, not elsewhere classified"
0090,"Infectious colitis, enteritis, and gastroenteritis"
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
0092,Infectious diarrhea
0093,Diarrhea of presumed infectious origin
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,"Pulmonary tuberculosis, unspecified, unspecified"
01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01300,"Tuberculous meningitis, unspecified"
01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01330,"Tuberculous abscess of brain, unspecified"
01354,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01402,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
01405,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01485,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01504,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01803,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01805,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01880,"Other specified miliary tuberculosis, unspecified"
01890,"Miliary tuberculosis, unspecified, unspecified"
01894,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01895,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01896,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0218,Other specified tularemia
0239,"Brucellosis, unspecified"
0270,Listeriosis
0272,Pasteurellosis
0279,Unspecified zoonotic bacterial disease
0309,"Leprosy, unspecified"
0310,Pulmonary diseases due to other mycobacteria
0311,Cutaneous diseases due to other mycobacteria
0312,Disseminated due to other mycobacteria
0318,Other specified mycobacterial diseases
0319,Unspecified diseases due to mycobacteria
03285,Cutaneous diphtheria
03289,Other specified diphtheria
0329,"Diphtheria, unspecified"
0338,Whooping cough due to other specified organism
0340,Streptococcal sore throat
035,Erysipelas
0360,Meningococcal meningitis
0362,Meningococcemia
03641,Meningococcal pericarditis
0380,Streptococcal septicemia
03810,"Staphylococcal septicemia, unspecified"
03811,Methicillin susceptible Staphylococcus aureus septicemia
03812,Methicillin resistant Staphylococcus aureus septicemia
03819,Other staphylococcal septicemia
0382,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
0383,Septicemia due to anaerobes
03840,"Septicemia due to gram-negative organism, unspecified"
03841,Septicemia due to hemophilus influenzae [H. influenzae]
03842,Septicemia due to escherichia coli [E. coli]
03843,Septicemia due to pseudomonas
03844,Septicemia due to serratia
03849,Other septicemia due to gram-negative organisms
0388,Other specified septicemias
0389,Unspecified septicemia
0391,Pulmonary actinomycotic infection
0392,Abdominal actinomycotic infection
0398,Actinomycotic infection of other specified sites
0400,Gas gangrene
04082,Toxic shock syndrome
04089,Other specified bacterial diseases
04100,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
04101,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
04102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
04103,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C"
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
04105,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G"
04109,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
04110,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
04111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04119,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
0412,Pneumococcus infection in conditions classified elsewhere and of unspecified site
0413,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
04149,Other and unspecified Escherichia coli [E. coli]
0415,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
0416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
0417,Pseudomonas infection in conditions classified elsewhere and of unspecified site
04182,Bacteroides fragilis
04183,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
04184,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
04185,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
04186,Helicobacter pylori [H. pylori]
04189,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
0419,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
042,Human immunodeficiency virus [HIV] disease
04590,"Acute poliomyelitis, unspecified, poliovirus, unspecified type"
0463,Progressive multifocal leukoencephalopathy
04671,Gerstmann-Str?ussler-Scheinker syndrome
0470,Meningitis due to coxsackie virus
0478,Other specified viral meningitis
0479,Unspecified viral meningitis
048,Other enterovirus diseases of central nervous system
0490,Lymphocytic choriomeningitis
0491,Meningitis due to adenovirus
0498,Other specified non-arthropod-borne viral diseases of central nervous system
0499,Unspecified non-arthropod-borne viral diseases of central nervous system
0520,Postvaricella encephalitis
0521,Varicella (hemorrhagic) pneumonitis
